freq_hz,dbm_tx_on,dbm_tx_off
6.979239000000000000e+06,-9.415625000000000000e+01,-1.186875000000000000e+02
6.979481000000000000e+06,-9.118750000000000000e+01,-1.046875000000000000e+02
6.979723000000000000e+06,-9.365625000000000000e+01,-1.106875000000000000e+02
6.979965000000000000e+06,-9.415625000000000000e+01,-1.086875000000000000e+02
6.980208000000000000e+06,-9.268750000000000000e+01,-1.081875000000000000e+02
6.980450000000000000e+06,-9.765625000000000000e+01,-1.061875000000000000e+02
6.980692000000000000e+06,-9.365625000000000000e+01,-1.106875000000000000e+02
6.980934000000000000e+06,-9.565625000000000000e+01,-1.091875000000000000e+02
6.981176000000000000e+06,-9.218750000000000000e+01,-1.096875000000000000e+02
6.981419000000000000e+06,-9.815625000000000000e+01,-1.096875000000000000e+02
6.981661000000000000e+06,-8.965625000000000000e+01,-1.101875000000000000e+02
6.981903000000000000e+06,-1.001561999999999983e+02,-1.106875000000000000e+02
6.982145000000000000e+06,-9.665625000000000000e+01,-1.076873999999999967e+02
6.982388000000000000e+06,-9.215625000000000000e+01,-1.121875000000000000e+02
6.982630000000000000e+06,-9.415625000000000000e+01,-1.086875000000000000e+02
6.982872000000000000e+06,-9.615625000000000000e+01,-1.116873999999999967e+02
6.983114000000000000e+06,-9.415625000000000000e+01,-1.106875000000000000e+02
6.983356000000000000e+06,-9.465625000000000000e+01,-1.116873999999999967e+02
6.983599000000000000e+06,-9.718750000000000000e+01,-1.076873999999999967e+02
6.983841000000000000e+06,-9.015625000000000000e+01,-1.111875000000000000e+02
6.984083000000000000e+06,-9.318750000000000000e+01,-1.111875000000000000e+02
6.984325000000000000e+06,-9.368750000000000000e+01,-1.141875000000000000e+02
6.984567000000000000e+06,-9.218750000000000000e+01,-1.106875000000000000e+02
6.984810000000000000e+06,-9.318750000000000000e+01,-1.031875000000000000e+02
6.985052000000000000e+06,-9.518750000000000000e+01,-1.126875000000000000e+02
6.985294000000000000e+06,-9.315625000000000000e+01,-1.106875000000000000e+02
6.985536000000000000e+06,-9.065625000000000000e+01,-1.106875000000000000e+02
6.985779000000000000e+06,-9.215625000000000000e+01,-1.076873999999999967e+02
6.986021000000000000e+06,-9.615625000000000000e+01,-1.086875000000000000e+02
6.986263000000000000e+06,-9.065625000000000000e+01,-1.096875000000000000e+02
6.986505000000000000e+06,-9.315625000000000000e+01,-1.096875000000000000e+02
6.986747000000000000e+06,-9.515625000000000000e+01,-1.111875000000000000e+02
6.986990000000000000e+06,-8.965625000000000000e+01,-1.136875000000000000e+02
6.987232000000000000e+06,-9.515625000000000000e+01,-1.076873999999999967e+02
6.987474000000000000e+06,-9.315625000000000000e+01,-1.066875000000000000e+02
6.987716000000000000e+06,-9.168750000000000000e+01,-1.126875000000000000e+02
6.987958000000000000e+06,-9.115625000000000000e+01,-1.171875000000000000e+02
6.988201000000000000e+06,-9.315625000000000000e+01,-1.076873999999999967e+02
6.988443000000000000e+06,-8.965625000000000000e+01,-1.076873999999999967e+02
6.988685000000000000e+06,-9.315625000000000000e+01,-1.111875000000000000e+02
6.988927000000000000e+06,-9.265625000000000000e+01,-1.076873999999999967e+02
6.989170000000000000e+06,-9.365625000000000000e+01,-1.056875000000000000e+02
6.989412000000000000e+06,-8.818750000000000000e+01,-1.101875000000000000e+02
6.989654000000000000e+06,-9.565625000000000000e+01,-1.116873999999999967e+02
6.989896000000000000e+06,-9.515625000000000000e+01,-1.071875000000000000e+02
6.990138000000000000e+06,-9.515625000000000000e+01,-1.071875000000000000e+02
6.990381000000000000e+06,-9.118750000000000000e+01,-1.061875000000000000e+02
6.990623000000000000e+06,-8.965625000000000000e+01,-1.071875000000000000e+02
6.990865000000000000e+06,-9.615625000000000000e+01,-1.096875000000000000e+02
6.991107000000000000e+06,-8.915625000000000000e+01,-1.081875000000000000e+02
6.991349000000000000e+06,-9.218750000000000000e+01,-1.141875000000000000e+02
6.991592000000000000e+06,-9.415625000000000000e+01,-1.081875000000000000e+02
6.991834000000000000e+06,-9.165625000000000000e+01,-1.131875000000000000e+02
6.992076000000000000e+06,-9.268750000000000000e+01,-1.166875000000000000e+02
6.992318000000000000e+06,-8.968750000000000000e+01,-1.066875000000000000e+02
6.992561000000000000e+06,-9.168750000000000000e+01,-1.071875000000000000e+02
6.992803000000000000e+06,-9.115625000000000000e+01,-1.091875000000000000e+02
6.993045000000000000e+06,-9.265625000000000000e+01,-1.081875000000000000e+02
6.993287000000000000e+06,-9.168750000000000000e+01,-1.116873999999999967e+02
6.993529000000000000e+06,-9.368750000000000000e+01,-1.071875000000000000e+02
6.993772000000000000e+06,-9.465625000000000000e+01,-1.116873999999999967e+02
6.994014000000000000e+06,-9.015625000000000000e+01,-1.091875000000000000e+02
6.994256000000000000e+06,-9.065625000000000000e+01,-1.051875000000000000e+02
6.994498000000000000e+06,-8.915625000000000000e+01,-1.176875000000000000e+02
6.994740000000000000e+06,-9.268750000000000000e+01,-1.101875000000000000e+02
6.994983000000000000e+06,-9.015625000000000000e+01,-1.086875000000000000e+02
6.995225000000000000e+06,-9.115625000000000000e+01,-1.046875000000000000e+02
6.995467000000000000e+06,-8.865625000000000000e+01,-1.061875000000000000e+02
6.995709000000000000e+06,-8.015625000000000000e+01,-1.051875000000000000e+02
6.995952000000000000e+06,-8.115625000000000000e+01,-1.101875000000000000e+02
6.996194000000000000e+06,-7.565625000000000000e+01,-1.061875000000000000e+02
6.996436000000000000e+06,-6.515625000000000000e+01,-1.086875000000000000e+02
6.996678000000000000e+06,-6.415625000000000000e+01,-1.136875000000000000e+02
6.996920000000000000e+06,-6.615625000000000000e+01,-1.096875000000000000e+02
6.997163000000000000e+06,-5.918750000000000000e+01,-1.146875000000000000e+02
6.997405000000000000e+06,-5.865625000000000000e+01,-1.036875000000000000e+02
6.997647000000000000e+06,-5.615625000000000000e+01,-1.036875000000000000e+02
6.997889000000000000e+06,-4.965625000000000000e+01,-1.041875000000000000e+02
6.998131000000000000e+06,-4.915625000000000000e+01,-1.096875000000000000e+02
6.998374000000000000e+06,-5.215625000000000000e+01,-1.076873999999999967e+02
6.998616000000000000e+06,-4.765625000000000000e+01,-1.136875000000000000e+02
6.998858000000000000e+06,-4.468750000000000000e+01,-1.076873999999999967e+02
6.999100000000000000e+06,-4.465625000000000000e+01,-1.056875000000000000e+02
6.999343000000000000e+06,-4.365625000000000000e+01,-1.041875000000000000e+02
6.999585000000000000e+06,-4.168750000000000000e+01,-1.066875000000000000e+02
6.999827000000000000e+06,-4.265625000000000000e+01,-1.111875000000000000e+02
7.000069000000000000e+06,-4.165625000000000000e+01,-1.171875000000000000e+02
7.000311000000000000e+06,-4.068750000000000000e+01,-1.066875000000000000e+02
7.000554000000000000e+06,-4.218750000000000000e+01,-1.081875000000000000e+02
7.000796000000000000e+06,-4.065625000000000000e+01,-1.056875000000000000e+02
7.001038000000000000e+06,-3.965625000000000000e+01,-1.101875000000000000e+02
7.001280000000000000e+06,-3.968750000000000000e+01,-1.061875000000000000e+02
7.001522000000000000e+06,-4.015625000000000000e+01,-1.101875000000000000e+02
7.001765000000000000e+06,-3.815625000000000000e+01,-1.091875000000000000e+02
7.002007000000000000e+06,-3.868750000000000000e+01,-1.071875000000000000e+02
7.002249000000000000e+06,-4.215625000000000000e+01,-1.061875000000000000e+02
7.002491000000000000e+06,-3.965625000000000000e+01,-1.066875000000000000e+02
7.002734000000000000e+06,-4.018750000000000000e+01,-1.126875000000000000e+02
7.002976000000000000e+06,-4.268750000000000000e+01,-1.116873999999999967e+02
